Contraction,With_incorrect_space
aren't,aren 't
can't,can 't
couldn't,couldn 't
didn't,didn 't
doesn't,doesn 't
don't,don 't
hadn't,hadn 't
hasn't,hasn 't
haven't,haven 't
he'd,he 'd
he'll,he 'll
he's,he 's
I'd,I 'd
I'll,I 'll
I'm,I 'm
I've,I 've
isn't,isn 't
it's,it 's
let's,let 's
mightn't,mightn 't
mustn't,mustn 't
shan't,shan 't
she'd,she 'd
she'll,she 'll
she's,she 's
shouldn't,shouldn 't
that's,that 's
there's,there 's
they'd,they 'd
they'll,they 'll
they're,they 're
they've,they 've
we'd,we 'd
we're,we 're
we've,we 've
weren't,weren 't
what'll,what 'll
what're,what 're
what's,what 's
what've,what 've
where's,where 's
who'd,who 'd
who'll,who 'll
who're,who 're
who's,who 's
who've,who 've
won't,won 't
wouldn't,wouldn 't
you'd,you 'd
you'll,you 'll
you're,you 're
you've,you 've
